<<<<<<< Updated upstream
,,,Normal,Boss,Normal,Item,,,,
,,,Normal,Normal,Normal,Item,,,,
,,,Item,Start,Item,Normal,,,,
,,,Item,Normal,Item,Normal,,,,
,Boss,,Normal,Item,Boss,Normal,,,,
,Item,Normal,Normal,Normal,Normal,Normal,,,,
,,Item,Normal,Normal,,End,,,,
,,Normal,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
=======
,,,,,,,,,,
Normal,End,,,,,,,,,
Normal,,Item,Item,,,,,,,
Boss,,Normal,Normal,,,,,,,
Normal,,Normal,Normal,,,,,,,
Item,Item,Normal,,,,,,,,
,Boss,Start,Item,,,Item,Normal,Normal,,
Normal,Normal,Normal,Normal,Item,Normal,Normal,,,,
Item,Normal,Boss,,,,,,,,
Item,Normal,,,,,,,,,
>>>>>>> Stashed changes
